输入r值,实际剪枝率PR(%),参数量(M),GFLOPs,AP(%),AP@0.5(%),AP@0.75(%),AR(%),精度状态
0.00,0.00,28.5,7.1,76.5,93.5,83.7,84.1,原生未剪枝基线
0.12,11.20,25.3,6.3,76.5,93.5,83.7,84.1,完全无损
0.22,20.70,22.6,5.7,76.5,93.5,83.7,84.1,完全无损
0.36,34.00,18.8,4.8,76.5,93.6,83.7,84.1,完全无损
0.46,43.50,16.1,4.2,76.5,93.6,83.7,84.1,完全无损
0.53,50.15,14.2,3.7,76.5,93.6,83.7,84.1,完全无损
0.61,58.20,11.9,3.2,76.5,93.6,83.7,84.1,官方无损上限
0.65,61.55,10.9,3.0,76.4,93.5,83.6,84.0,几乎无损（掉点0.1%）
0.78,73.90,7.4,2.1,75.7,93.3,83.1,83.5,微损可接受（掉点0.8%）
0.85,80.55,5.5,1.7,74.2,92.9,82.0,82.2,显著掉点（掉点2.3%）